time,tipPy_x,tipPy_y,tipPy_z,tipCpp_x,tipCpp_y,tipCpp_z
1.766999999999916193e+00,-7.461431066442292259e-02,-1.796371300224090417e+00,1.239374346508807605e-04,-7.461888914736296285e-02,-1.796370764492524863e+00,9.842375152318971071e-05
1.783999999999914321e+00,-4.276787194340440912e-02,-1.792962510142505739e+00,1.336374120172940699e-04,-4.277202587260582611e-02,-1.792961661618315272e+00,1.076060633884185370e-04
1.799999999999912559e+00,-1.132697064518399521e-02,-1.787457423523837186e+00,1.320851078308095958e-04,-1.133061702494647660e-02,-1.787456384645661922e+00,1.076909274000548838e-04
1.816999999999910687e+00,2.397636932189749215e-02,-1.779710523466362382e+00,1.201574205495360270e-04,2.397333846862537143e-02,-1.779709410017905391e+00,9.944239528112452432e-05
1.833999999999908814e+00,6.144457571796999029e-02,-1.770598795607340348e+00,9.914022481087812744e-05,6.144220327262742143e-02,-1.770597737903383928e+00,8.365441884108817776e-05
1.849999999999907052e+00,9.877491854705741647e-02,-1.761273253806889372e+00,7.261820096404555014e-05,9.877317987152736678e-02,-1.761272353101749566e+00,6.299548446362057642e-05
1.866999999999905180e+00,1.406476495622828726e-01,-1.751002212655768275e+00,3.911892279139758980e-05,1.406465819168589704e-01,-1.751001566154292366e+00,3.619960365974420448e-05
1.883999999999903308e+00,1.847592085089450331e-01,-1.740685189610511330e+00,2.285116585660975242e-06,1.847588002309943633e-01,-1.740684859263255557e+00,6.027931381652603879e-06
1.899999999999901545e+00,2.282609344344446733e-01,-1.731121921379894957e+00,-3.328066268248604069e-05,2.282611327306423576e-01,-1.731121919504866380e+00,-2.375644213850608552e-05
1.916999999999899673e+00,2.765114580114853560e-01,-1.721204702527166841e+00,-6.972278806238876381e-05,2.765122856086393854e-01,-1.721205056358992902e+00,-5.499791493766419430e-05
1.933999999999897801e+00,3.267614654057749979e-01,-1.711521755768413922e+00,-1.026250235792245655e-04,3.267629080725047985e-01,-1.711522447009190095e+00,-8.402159501209361964e-05
1.949999999999896039e+00,3.757875130270809660e-01,-1.702518154881612844e+00,-1.287493834694736737e-04,3.757895222342149677e-01,-1.702519125821178481e+00,-1.079278367909299491e-04
1.966999999999894166e+00,4.296002133268105316e-01,-1.692868607763529543e+00,-1.501337705729465909e-04,4.296028111036741537e-01,-1.692869814444622589e+00,-1.285962115864019636e-04
1.983999999999892294e+00,4.850389024041850128e-01,-1.682841092645991576e+00,-1.642402917477175505e-04,4.850420728113638003e-01,-1.682842450539995038e+00,-1.436706480990628454e-04
1.999999999999890532e+00,5.385288527895196742e-01,-1.672717538607220611e+00,-1.707592068568879922e-04,5.385325422236785231e-01,-1.672718943148562953e+00,-1.525164808827189004e-04
2.016999999999888882e+00,5.965147954494742777e-01,-1.660796114790988875e+00,-1.710040436399092500e-04,5.965190058766709491e-01,-1.660797447758957546e+00,-1.564849377788228590e-04
2.033999999999887009e+00,6.553567559187911673e-01,-1.647157131459351387e+00,-1.654984680764721473e-04,6.553614415953286088e-01,-1.647158248382965429e+00,-1.556056592951094580e-04
2.049999999999885247e+00,7.111170816074553480e-01,-1.632235153238388081e+00,-1.565795281872929274e-04,7.111221535116130088e-01,-1.632235920055964185e+00,-1.514019874857165790e-04
2.066999999999883375e+00,7.702047442704148539e-01,-1.613604006058086959e+00,-1.451071844472650294e-04,7.702101352544105106e-01,-1.613604235513875551e+00,-1.447226957010982801e-04
2.083999999999881503e+00,8.283963569065870836e-01,-1.591583793589555595e+00,-1.337820817340164335e-04,8.284019413009346966e-01,-1.591583318864837615e+00,-1.372731740684887745e-04
2.099999999999879741e+00,8.815441111067465751e-01,-1.567404644718330076e+00,-1.252546612285284646e-04,8.815497338670601479e-01,-1.567403378599665054e+00,-1.309278499911189413e-04
2.116999999999877868e+00,9.353479850035129051e-01,-1.537895616842006818e+00,-1.204800780988652233e-04,9.353534754712068411e-01,-1.537893423415053862e+00,-1.263803260655962013e-04
2.133999999999875996e+00,9.854426198524499636e-01,-1.504617882264688511e+00,-1.220940507929918831e-04,9.854477992092330885e-01,-1.504614745357057970e+00,-1.257816588708432406e-04
2.149999999999874234e+00,1.028445356136683753e+00,-1.470308564518958416e+00,-1.310394090628953226e-04,1.028450101303220787e+00,-1.470304597734903407e+00,-1.304498015549124615e-04
2.166999999999872362e+00,1.069164481680915380e+00,-1.431430201944038139e+00,-1.495402197465562732e-04,1.069168659007021738e+00,-1.431425481321397353e+00,-1.424180911041575881e-04
2.183999999999870489e+00,1.104473564129869079e+00,-1.390992634198404687e+00,-1.774951995991093563e-04,1.104477118591313811e+00,-1.390987335782094991e+00,-1.624211073982983122e-04
2.199999999999868727e+00,1.132755382891875939e+00,-1.352405225283365597e+00,-2.117185227205645409e-04,1.132758349002361609e+00,-1.352399559770686377e+00,-1.886224508494983843e-04
2.216999999999866855e+00,1.157754607251562318e+00,-1.311740365871936209e+00,-2.549122965338549676e-04,1.157756986662853427e+00,-1.311734492495176374e+00,-2.236255639880249571e-04
2.233999999999864983e+00,1.177913567483809265e+00,-1.272223627901187593e+00,-3.027956960501763353e-04,1.177915427318622310e+00,-1.272217713774639325e+00,-2.645640524002300527e-04
2.249999999999863221e+00,1.192864866112057110e+00,-1.236687031359024358e+00,-3.493981062428364189e-04,1.192866311313513394e+00,-1.236681206809857159e+00,-3.064609543439735201e-04
2.266999999999861348e+00,1.204923615005242254e+00,-1.201200795815946520e+00,-3.971597328460918183e-04,1.204924702466882103e+00,-1.201195175474143673e+00,-3.516868878104920408e-04
2.283999999999859476e+00,1.213487147142756628e+00,-1.168465138845592222e+00,-4.395419855544650768e-04,1.213487959362560265e+00,-1.168459810128724019e+00,-3.943507096065953978e-04
2.299999999999857714e+00,1.218735929059794554e+00,-1.140456803040449385e+00,-4.715852085948312464e-04,1.218736551682370717e+00,-1.140451809619972501e+00,-4.292625087660287340e-04
2.316999999999855842e+00,1.221694117694816839e+00,-1.113908887039721574e+00,-4.948746048002455487e-04,1.221694604710769738e+00,-1.113904298307314411e+00,-4.581797382373244262e-04
2.333999999999853969e+00,1.222291348964083202e+00,-1.090852170981926328e+00,-5.054793425251553505e-04,1.222291759576472181e+00,-1.090848023813287382e+00,-4.766865663390004726e-04
2.349999999999852207e+00,1.220966131497482454e+00,-1.072467737755524508e+00,-5.032469903547488917e-04,1.220966516668607671e+00,-1.072464030846954630e+00,-4.834781473501999888e-04
2.366999999999850335e+00,1.217798326272910625e+00,-1.056559206794709826e+00,-4.881125969734963167e-04,1.217798726302435242e+00,-1.056555986657039981e+00,-4.789847828429136018e-04
2.383999999999848463e+00,1.213029765693778961e+00,-1.044464653314820080e+00,-4.609017204950811289e-04,1.213030216716468823e+00,-1.044461933920189267e+00,-4.627807534980773389e-04
2.399999999999846700e+00,1.207238016727820273e+00,-1.036620731464829026e+00,-4.259314898991698947e-04,1.207238542848181995e+00,-1.036618492339116848e+00,-4.378315072542871477e-04
2.416999999999844828e+00,1.199830417314116993e+00,-1.032091597465862876e+00,-3.812264472345549713e-04,1.199831046067895368e+00,-1.032089875142923274e+00,-4.027315519753356951e-04
